seed_idx,seed,trial,trial_seed,train_rmse,train_mae,train_mape,train_pi_coverage,test_rmse,test_mae,test_mape,test_pi_coverage
55,55042,3,55045,309.4984951900479,258.6958821614583,6.776181801064962,96.07843137254902,1177.142603536643,969.610107421875,15.637057187100675,66.66666666666666
55,55042,4,55046,224.72039452830555,175.5053902420343,4.681383692928621,94.11764705882352,987.6140384765947,720.3171793619791,11.3590409645377,91.66666666666666
56,56042,0,56042,291.591835710857,236.51304476868873,6.190005235562562,94.11764705882352,1325.114678274334,1152.34716796875,18.808360960254863,58.333333333333336
56,56042,1,56043,262.2614467526187,209.5537109375,5.505835597496606,96.07843137254902,1121.7803430391969,903.2217610677084,14.49606370961846,75.0
56,56042,2,56044,290.97441223240213,235.3533385033701,6.159354056443591,96.07843137254902,1333.3359610037865,1166.3807373046875,19.063360670344434,58.333333333333336
56,56042,3,56045,244.55255677605993,186.15444048713235,4.812831395345228,94.11764705882352,1083.1506748596364,850.8836263020834,13.587485403284058,75.0
56,56042,4,56046,273.01707482469817,212.99573471966912,5.592804139649031,94.11764705882352,1328.8849692793926,1148.9822591145833,18.7186040955469,58.333333333333336
57,57042,0,57042,292.8909625258552,243.1687203201593,6.364722752898377,96.07843137254902,1291.3400655483467,1116.2002766927083,18.198447775730955,58.333333333333336
57,57042,1,57043,312.55651624696475,255.27500765931373,6.679337373641927,94.11764705882352,1363.0419725330912,1199.742919921875,19.64532600956668,58.333333333333336
57,57042,2,57044,287.9217964234958,231.95089901194854,6.071960904004774,96.07843137254902,1321.1926133574877,1143.2984619140625,18.630744882613918,58.333333333333336
57,57042,3,57045,271.59151222670073,222.93465169270834,5.846138233889652,96.07843137254902,1289.4771543841669,1116.9062906901042,18.20352441115024,58.333333333333336
57,57042,4,57046,253.5951550353772,202.7367924708946,5.296682924033374,94.11764705882352,1339.055453494578,1135.2384033203125,18.360312017127324,66.66666666666666
58,58042,0,58042,388.5254025223499,261.7813505284926,7.098269915637832,96.07843137254902,1089.7540274207104,863.6542154947916,13.824201454131964,75.0
58,58042,1,58043,291.78577343093104,238.69028607536765,6.274453547406969,96.07843137254902,1146.2994791243725,932.6815185546875,14.996564730150855,75.0
58,58042,2,58044,298.36427033041645,243.93453680300246,6.407916389150195,98.0392156862745,1272.2816823186504,1090.3624674479167,17.73676546531999,58.333333333333336
58,58042,3,58045,270.10892945986484,211.15483302696077,5.5335073777050185,96.07843137254902,1295.1986897988324,1091.9271647135417,17.65177554056727,58.333333333333336
58,58042,4,58046,340.9889204045467,277.3464929917279,7.29763215524432,96.07843137254902,1398.9981726318529,1242.125732421875,20.423821144525125,58.333333333333336
59,59042,0,59042,474.06543174006333,404.5677370557598,10.650869759225156,98.0392156862745,1026.1844452989892,779.0945231119791,12.372598948068365,83.33333333333334
59,59042,1,59043,379.6840889687147,296.56149471507354,7.611692297045983,86.27450980392157,1641.4590855573144,1498.2812093098958,24.77663576940959,25.0
59,59042,2,59044,328.7523061948207,271.06868010876224,7.09978841938291,98.0392156862745,1309.3952248744242,1142.1719156901042,18.667339508763135,58.333333333333336
59,59042,3,59045,311.4795360129559,243.94257429534315,6.38036760675135,94.11764705882352,1361.0220661664396,1206.593017578125,19.799581673942164,58.333333333333336
59,59042,4,59046,279.2661308981823,228.7624703201593,6.000082770711993,98.0392156862745,1226.4103918237854,1033.42041015625,16.73541222944792,58.333333333333336
