seed_idx,seed,trial,trial_seed,train_rmse,train_mae,train_mape,train_pi_coverage,test_rmse,test_mae,test_mape,test_pi_coverage
92,92042,7,92049,263.93216813158807,213.05623851102942,5.562806113554314,98.0392156862745,1239.3268008351351,1043.485595703125,16.87641927344604,66.66666666666666
92,92042,8,92050,300.5160454290812,246.52405503216912,6.461900681268107,96.07843137254902,1360.7154717011538,1159.5867919921875,18.817735284589617,58.333333333333336
92,92042,9,92051,262.9392374603322,204.41172640931373,5.343831709820016,94.11764705882352,1258.6156434816266,1059.70166015625,17.15906520875137,66.66666666666666
93,93042,0,93042,293.6176678579964,243.1011651731005,6.39820409553694,98.0392156862745,1290.7781349491102,1105.2705485026042,17.971897343534724,58.333333333333336
93,93042,1,93043,270.3155121079105,216.98209156709558,5.687465784029867,92.15686274509804,1425.6327934914154,1247.7314860026042,20.364576861431203,58.333333333333336
93,93042,2,93044,281.928690285496,225.17354568780638,5.882380144706237,94.11764705882352,1395.1387988552087,1226.5432535807292,20.067542483465676,58.333333333333336
93,93042,3,93045,306.5183280238596,242.2030579810049,6.342602420040641,96.07843137254902,1334.168252197664,1173.5802408854167,19.220480677753883,58.333333333333336
93,93042,4,93046,254.41815559441972,203.32238051470588,5.366371041440208,96.07843137254902,1387.5583041655898,1214.4117024739583,19.832212873896818,58.333333333333336
93,93042,5,93047,318.85013124307505,259.5510684742647,6.74839093875099,94.11764705882352,1467.0977730068757,1318.2087809244792,21.696969268278725,58.333333333333336
93,93042,6,93048,351.3667338201716,290.91464173560047,7.622971288375495,98.0392156862745,1293.1558574289725,1115.8785807291667,18.188076248716722,58.333333333333336
93,93042,7,93049,293.301246722188,247.3548703661152,6.461268141754878,98.0392156862745,1159.7870842090767,966.3156331380209,15.630626666452335,75.0
93,93042,8,93050,236.51122999475214,186.40522556678923,4.9268373801503635,94.11764705882352,1122.2789587336451,908.4049479166666,14.603925353603417,75.0
93,93042,9,93051,279.0844260716453,226.40531173406862,5.954515501506528,96.07843137254902,1255.0267343305634,1087.1860758463542,17.728545793480613,58.333333333333336
94,94042,0,94042,277.10165869206753,222.22013346354166,5.821684437202338,94.11764705882352,1443.0571713086629,1277.6798909505208,20.94541200063161,58.333333333333336
94,94042,1,94043,286.1371867540933,234.42153511795343,6.145477926828382,94.11764705882352,1278.5149115728495,1094.5737711588542,17.79134289105588,58.333333333333336
94,94042,2,94044,288.70654050570215,233.93191348805146,6.126991957173673,96.07843137254902,1314.8776175466592,1137.9264322916667,18.548483937927728,58.333333333333336
94,94042,3,94045,298.1552831047615,241.0224800857843,6.30637279187847,96.07843137254902,1228.4158004638336,1038.8577473958333,16.846849297849367,58.333333333333336
94,94042,4,94046,304.4510409910719,245.0835678998162,6.404603330041013,94.11764705882352,1364.4067724443846,1203.4180908203125,19.72245861482298,58.333333333333336
94,94042,5,94047,320.6818280543971,258.92561370251224,6.788633539678949,96.07843137254902,1294.237535472749,1114.8578694661458,18.154681304978002,58.333333333333336
94,94042,6,94048,292.90801756445825,233.24184283088235,6.099646904034276,94.11764705882352,1354.1457320640059,1185.4613444010417,19.377947568535458,58.333333333333336
94,94042,7,94049,294.90490615810097,239.49136891084558,6.280877807931376,98.0392156862745,1277.2580484959838,1088.5732421875,17.678231107559217,58.333333333333336
94,94042,8,94050,303.0383866414384,246.87385589001227,6.423294840791333,94.11764705882352,1432.9473041400988,1276.0452473958333,20.950194633237253,58.333333333333336
94,94042,9,94051,261.0585006041776,207.8970396752451,5.484202590950414,98.0392156862745,1184.1268738327162,977.5428466796875,15.773704759378218,66.66666666666666
95,95042,0,95042,302.6310164955555,244.56077665441177,6.388422788368595,94.11764705882352,1332.218793200015,1169.5932210286458,19.1472921616982,58.333333333333336
95,95042,1,95043,304.1448273023695,249.19727998621323,6.536438011250134,94.11764705882352,1329.8893127928914,1157.5779215494792,18.8885100987947,58.333333333333336
95,95042,2,95044,263.3219640163609,210.59595683976715,5.512609409048364,92.15686274509804,1134.1256024611919,916.1585286458334,14.70320816746879,75.0
95,95042,3,95045,279.0219294317979,222.52493106617646,5.827111827802792,94.11764705882352,1287.9245414602462,1100.547607421875,17.877883880839924,58.333333333333336
95,95042,4,95046,253.27377549513477,198.34890567555146,5.185742397858642,94.11764705882352,1288.2237161834544,1093.0390625,17.70430940804553,66.66666666666666
95,95042,5,95047,360.83744340634064,289.07250019148285,7.458541650404632,88.23529411764706,1686.8542468767043,1542.9357503255208,25.527139377645465,25.0
95,95042,6,95048,298.6125102047824,243.2485543045343,6.368765125154119,94.11764705882352,1342.6390880672373,1172.3245035807292,19.15268898605346,58.333333333333336
95,95042,7,95049,284.85717096462497,230.77338962928923,6.057848002574904,96.07843137254902,1238.0136370175644,1052.6943359375,17.09926000777998,58.333333333333336
95,95042,8,95050,297.38124933107287,241.95536056219362,6.336186619852165,98.0392156862745,1290.335394328073,1113.891845703125,18.150068268634843,58.333333333333336
95,95042,9,95051,300.94627949702954,244.4519282322304,6.414029842898734,98.0392156862745,1297.922282576706,1124.1560872395833,18.3353539653919,58.333333333333336
96,96042,0,96042,304.43090559067275,248.87859987745097,6.519717646635891,96.07843137254902,1305.5676625445676,1131.0311686197917,18.446863185477376,58.333333333333336
96,96042,1,96043,286.63548588817235,235.2972292432598,6.164961977272593,98.0392156862745,1274.4050017169734,1091.0818277994792,17.742134854662492,58.333333333333336
96,96042,2,96044,302.3328574900303,239.2650457643995,6.206470323568112,94.11764705882352,1416.5796674145436,1263.2356363932292,20.756323087330678,58.333333333333336
96,96042,3,96045,283.6423103358043,232.0544864430147,6.096147829287041,96.07843137254902,1216.8967335954706,1019.0315755208334,16.48340802849873,66.66666666666666
96,96042,4,96046,312.84797041933206,254.35103592218138,6.6577957063932365,94.11764705882352,1359.9626472343405,1196.68603515625,19.59693368715893,58.333333333333336
96,96042,5,96047,258.71945156169534,207.09884344362746,5.428613063852052,96.07843137254902,1198.603873851988,986.8297526041666,15.90109898842311,66.66666666666666
96,96042,6,96048,239.46710789329836,183.78541475183823,4.84719184269941,92.15686274509804,1117.14791629399,886.459228515625,14.177646348218056,66.66666666666666
96,96042,7,96049,320.5268923292003,261.2561465992647,6.809927177794936,94.11764705882352,1429.2385810087342,1275.3938802083333,20.95791486131903,58.333333333333336
96,96042,8,96050,282.4218859558356,230.61905924479166,6.0556311510708944,94.11764705882352,1271.8937596889482,1070.864501953125,17.351635001590335,66.66666666666666
96,96042,9,96051,270.98414943653586,221.74430817248773,5.810565820480565,98.0392156862745,1395.8671778797304,1226.2552490234375,20.051597648951404,58.333333333333336
97,97042,0,97042,320.2189485374937,262.6248659620098,6.837066033980291,96.07843137254902,1191.766206742458,992.6860758463541,16.04706383690047,66.66666666666666
97,97042,1,97043,300.7637514746744,245.46615062040442,6.416293913817964,94.11764705882352,1365.2748324816919,1197.9166259765625,19.596776694115338,58.333333333333336
97,97042,2,97044,317.36647948120776,260.52600815716914,6.82895906596354,98.0392156862745,1303.6035858982245,1131.8250325520833,18.474406863504104,58.333333333333336
97,97042,3,97045,260.19117824986716,203.55761240042892,5.415256530248938,96.07843137254902,1079.0992476729982,838.7166748046875,13.356140096291004,75.0
97,97042,4,97046,303.8569265513478,247.14705882352942,6.4772895430898965,96.07843137254902,1238.6947896694364,1052.2943522135417,17.09072037806018,58.333333333333336
97,97042,5,97047,281.6265557849784,225.4721919041054,5.917886251078683,98.0392156862745,1248.6115862740664,1062.5058186848958,17.251108479287733,58.333333333333336
97,97042,6,97048,309.78787354096136,251.43810317095588,6.5786406259387125,94.11764705882352,1326.653897852418,1155.90869140625,18.877563415366165,58.333333333333336
97,97042,7,97049,278.65532710299163,221.34850356158088,5.74767688662683,94.11764705882352,1385.172153250871,1207.7669677734375,19.697724182639533,58.333333333333336
97,97042,8,97050,275.8347605576619,223.74794155943627,5.885299130128159,98.0392156862745,1297.863218320986,1097.4665934244792,17.755831115602696,58.333333333333336
97,97042,9,97051,309.51857053032495,252.98456648284315,6.634275196912824,98.0392156862745,1304.6915487141177,1129.7765299479167,18.424408192444353,58.333333333333336
98,98042,0,98042,294.3980509081827,239.9756050857843,6.285643599784012,98.0392156862745,1200.08324023934,1000.9322509765625,16.178177460962143,66.66666666666666
98,98042,1,98043,265.5378709321464,215.62641697303923,5.718421406208453,94.11764705882352,1343.0960464001473,1152.9385986328125,18.763647971193528,66.66666666666666
98,98042,2,98044,325.09376419922313,266.16207586550246,6.958263561942959,96.07843137254902,1358.5306369964323,1199.63330078125,19.666127531430735,58.333333333333336
98,98042,3,98045,257.9123307844691,203.96251723345588,5.363115328730729,96.07843137254902,1246.2191686858405,1049.3684895833333,16.98509819425084,58.333333333333336
98,98042,4,98046,291.32575032061163,237.79496974571077,6.226482150036611,98.0392156862745,1230.1827376020449,1037.3800455729167,16.805625714706277,58.333333333333336
98,98042,5,98047,263.9790409616954,209.1142338771446,5.4635277093016406,94.11764705882352,1310.3858609474937,1126.843505859375,18.33169607905004,58.333333333333336
98,98042,6,98048,264.3762868507326,215.6625258501838,5.622105758183554,96.07843137254902,1173.6023457359447,973.2928059895834,15.729647569043518,75.0
98,98042,7,98049,294.36193209303786,239.9657293581495,6.300425465237485,98.0392156862745,1243.148229468619,1053.976318359375,17.10337631863778,58.333333333333336
98,98042,8,98050,285.60142334218403,221.4932741651348,5.778112508247187,92.15686274509804,1231.4502252676546,1026.984375,16.601862171859132,66.66666666666666
98,98042,9,98051,280.02816189116425,226.3019301470588,5.931560541378916,96.07843137254902,1283.0884761130458,1099.1828206380208,17.870812039587413,58.333333333333336
99,99042,0,99042,474.4393921089248,380.16592467064953,9.74608029637131,80.3921568627451,1983.6351059522965,1798.255839029948,29.78288722341336,33.33333333333333
99,99042,1,99043,305.93747728762327,250.17059685202207,6.553427524982176,98.0392156862745,1309.5318422695768,1136.4394938151042,18.54276063140584,58.333333333333336
99,99042,2,99044,411.8293927957073,325.52841605392155,8.338520356127686,82.35294117647058,1714.9938702402058,1595.3165690104167,26.553839526931267,25.0
99,99042,3,99045,301.39429386371694,244.3839231004902,6.400752118979794,94.11764705882352,1312.462369595944,1136.0546468098958,18.520589226941432,58.333333333333336
99,99042,4,99046,268.0966195524445,208.06189682904412,5.434022367427141,96.07843137254902,1392.3267534970828,1205.654541015625,19.615951565480845,58.333333333333336
99,99042,5,99047,263.4267424387305,209.30037913602942,5.4433001343785685,96.07843137254902,1379.3962323646522,1175.810791015625,19.052402810315325,58.333333333333336
99,99042,6,99048,276.0898765188094,225.39326267616423,6.020142977566861,98.0392156862745,999.7562180860659,732.4599202473959,11.563674954109752,91.66666666666666
99,99042,7,99049,295.5853306295634,241.7747012867647,6.317455587482636,94.11764705882352,1392.6234403042654,1227.5469156901042,20.100171945016417,58.333333333333336
99,99042,8,99050,294.9022214891019,228.9220952052696,6.0228794291586585,96.07843137254902,1241.288871759936,1050.6883951822917,17.037366322255917,58.333333333333336
99,99042,9,99051,292.7556754360491,240.2970760569853,6.299627538822038,94.11764705882352,1356.3461354131084,1195.3546956380208,19.572665238952602,58.333333333333336
