County,State,County-State,census_division,population_total,female_pct,median_age,under18_pct,over65_pct,white_pct,black_pct,aian_pct,asian_pct,nhpi_pct,otherrace_pct,hispanic_pct,poverty_pct,area_sqmi,pop_sqmi,nonenglish,customer,too_small,region,vlarge,large,vsmall,vblack,vhispanic,vnonenglish,dense,sparse,poor,group,RANDOM,group_rank
Ashe County, North Carolina,"Ashe County, North Carolina",5,26863,50.8,48.3,18.1,24.7,96.8,1.1,0.9,0.6,0.2,2,5,16.3,426.264,63,5.3,0,1,,0,0,1,0,0,0,0,1,1,NA,0.042,2055
Ashland County, Ohio,"Ashland County, Ohio",3,53536,51.2,40.4,22.7,18.3,98.3,1.5,0.6,0.9,0.1,0.4,1.4,13.8,422.987,127,5.1,0,0,midwest,0,0,1,0,0,0,0,1,1,vsmall,0.542,180
Ashland County, Wisconsin,"Ashland County, Wisconsin",3,15617,49.4,42,22.2,18.9,86.1,1.2,14,1.1,0,0.4,2.9,17.4,1044.97,15,3.2,0,1,,0,0,1,0,0,0,0,1,1,NA,0.512,1014
Ashley County, Arkansas,"Ashley County, Arkansas",7,20270,51.5,41.7,23,19.9,73.1,25.7,0.5,0.2,0,1.1,5.4,16.7,925.492,22,5.2,0,1,,0,0,1,0,0,0,0,1,1,NA,0.874,285
Ashtabula County, Ohio,"Ashtabula County, Ohio",3,97830,49.7,42.5,22.2,18.5,95,5.3,0.8,0.8,0,0.6,4.2,19.9,702.067,139,7.1,0,0,midwest,0,0,1,0,0,0,0,1,1,vsmall,0.076,362
Asotin County, Washington,"Asotin County, Washington",9,22421,51.5,45,20.4,22.8,96,1.3,3.1,1.4,0.7,1.6,4,12.6,636.075,35,4.2,0,1,,0,0,1,0,0,0,0,1,1,NA,0.925,158
Assumption Parish, Louisiana,"Assumption Parish, Louisiana",7,22478,51.7,40.9,22,17.4,68.4,30.5,0.8,0.4,0,0.9,3,19.2,344.021,65,12.6,0,1,,0,0,1,1,0,0,0,1,1,NA,0.153,1799
Atascosa County, Texas,"Atascosa County, Texas",7,49528,50.1,35.4,27.5,14.3,97,1.8,2.8,0.6,0.1,2.5,64.3,14.8,1219.541,41,38.5,0,1,,0,0,1,0,1,0,0,1,1,NA,0.969,70
Atchison County, Kansas,"Atchison County, Kansas",4,16268,51.8,36.6,23.5,16.9,95.4,6.8,1.7,1.1,0.1,1,3,15.2,431.174,38,1.3,0,1,,0,0,1,0,0,0,0,1,1,NA,0.655,693
Atchison County, Missouri,"Atchison County, Missouri",4,5229,50.3,48.5,19.3,25.4,98,0.5,1.2,0.5,0,0.3,1.3,12.1,547.285,10,1.1,0,1,,0,0,1,0,0,0,0,1,1,NA,0.898,225
