order,seasonal_order,AIC,BIC,MAE,RMSE
"(1, 0, 2)","(0, 1, 0)",23194.713258909338,23217.900780280474,82.83429986581426,119.72147311914264
"(2, 0, 1)","(0, 1, 0)",23204.192686347676,23227.381851441867,82.83358395470852,119.72153457817645
"(0, 0, 2)","(2, 0, 2)",23692.6370683173,23733.180620015868,82.82768161550138,119.7373544835858
"(1, 0, 0)","(2, 0, 1)",21634.233543665643,21663.197352269726,82.8562265007047,119.74738372103452
"(1, 0, 0)","(1, 0, 2)",21633.80353250698,21662.767341111063,82.85795265483942,119.74877794298035
"(0, 0, 0)","(0, 0, 1)",27640.163485143654,27651.75888921469,82.74803451929833,119.75257642284993
"(1, 0, 0)","(1, 0, 1)",21730.470284421637,21753.661092563703,82.86652924022695,119.76065141964207
"(0, 1, 0)","(0, 0, 2)",21646.385862757932,21663.762909530273,82.87682553520364,119.76091886697795
"(1, 0, 1)","(1, 0, 1)",21623.146620510837,21652.133076878574,82.88294663563227,119.76911387519493
"(2, 0, 1)","(1, 0, 1)",21622.76616725653,21657.549914897816,82.88293289763085,119.76914185569235
"(2, 0, 0)","(1, 0, 1)",21621.037922552998,21650.024378920734,82.88367415704434,119.76981620803836
"(1, 0, 2)","(1, 0, 1)",21614.960524174945,21649.741806231646,82.88436970968348,119.77041994453751
"(0, 0, 1)","(0, 0, 1)",25648.982435391765,25666.374309212406,82.83463885698139,119.77451651015875
"(0, 0, 2)","(0, 0, 1)",24424.131261801213,24447.318783172348,82.8488913435265,119.7802249037058
"(0, 0, 2)","(1, 0, 1)",23799.311194425194,23828.295596139113,82.88838506054444,119.7807187450375
"(0, 0, 2)","(1, 0, 2)",23693.343869742348,23728.095485483977,82.88784563296977,119.7813686737569
"(0, 0, 2)","(2, 0, 0)",23717.651523497534,23746.61739523348,82.88883241993794,119.78160467695535
"(0, 0, 2)","(1, 0, 0)",23848.689501125198,23871.881951640516,82.89450259162064,119.78636548089158
"(2, 0, 2)","(0, 0, 2)",21513.989187230796,21554.532738929363,82.90399787893055,119.78783393218453
"(2, 0, 1)","(0, 0, 2)",21520.656625520387,21555.410719065065,82.9043276171727,119.78812536831435
"(2, 0, 0)","(0, 0, 2)",21526.90962501547,21555.873433619552,82.9044848911629,119.78827387085899
"(1, 0, 2)","(0, 0, 2)",21513.093071602914,21547.844687344543,82.90459060859685,119.7883500420394
"(1, 0, 1)","(0, 0, 2)",21521.038645740635,21550.0003903612,82.90486628931068,119.78855996856565
"(0, 0, 0)","(2, 0, 2)",26275.343541605027,26304.30735020911,82.90319633948732,119.7896473605366
"(2, 1, 2)","(1, 0, 1)",21622.13591711988,21662.71120182148,82.91022923951031,119.79317556486349
"(1, 1, 0)","(1, 0, 1)",21633.97834507694,21657.16751017113,82.91045499764142,119.79339028805286
"(1, 0, 0)","(0, 0, 2)",21631.347190097364,21654.518236980628,82.91123137765238,119.79413850246763
"(0, 0, 1)","(0, 0, 0)",26995.766810957597,27007.37122959009,82.91033839607782,119.79436945070555
"(0, 1, 0)","(1, 0, 1)",21747.100442212515,21764.492316033156,82.91161091162652,119.79450227845281
"(1, 1, 2)","(1, 0, 1)",21620.277927081734,21655.05674254025,82.91168609695744,119.79456960868185
"(0, 0, 2)","(0, 0, 0)",25373.176459338752,25390.58186054448,82.9113510150518,119.79457647634767
"(0, 2, 0)","(0, 0, 1)",23897.0707379786,23908.664498664166,82.91169565451015,119.7945796641306
"(0, 2, 0)","(2, 0, 0)",23796.220068468152,23813.597115240493,82.91168241978703,119.79462137323345
"(0, 1, 1)","(0, 0, 0)",21718.535295166086,21730.138895969903,82.91176470307212,119.79465000278353
"(0, 2, 0)","(0, 1, 0)",25607.984368896818,25613.7812492396,82.91176470354694,119.7946500031032
"(1, 0, 1)","(0, 0, 0)",21713.395453026988,21730.80208097573,82.91176470564967,119.79465000528029
"(1, 1, 0)","(0, 1, 0)",23314.685504070367,23326.280086617462,82.9117647058739,119.79465000546818
"(1, 0, 2)","(0, 0, 0)",21705.23658139923,21728.443783006864,82.91176470587288,119.79465000546867
"(2, 0, 0)","(0, 1, 0)",23202.63741606608,23220.029289886723,82.91176470588205,119.79465000547634
"(1, 1, 1)","(0, 0, 0)",21719.101201566697,21736.506602772424,82.91176470588225,119.79465000547653
"(1, 0, 0)","(0, 0, 0)",21824.2493920013,21835.854628128185,82.91176470588235,119.79465000547663
"(1, 1, 0)","(1, 0, 0)",21632.11805297245,21649.509926793093,82.91176470588235,119.79465000547663
"(1, 0, 0)","(0, 1, 0)",23279.1578807831,23290.753284854134,82.91176470588235,119.79465000547663
"(1, 0, 0)","(1, 0, 0)",21729.43633972323,21746.82944582978,82.91176470588235,119.79465000547663
"(1, 1, 0)","(0, 0, 0)",21726.215364043594,21737.819782676088,82.91176470588235,119.79465000547663
"(0, 0, 0)","(0, 0, 0)",29606.16904089813,29611.971658961575,82.91176470588235,119.79465000547663
"(0, 1, 0)","(0, 1, 0)",23438.29867718734,23444.095968460886,82.91176470588235,119.79465000547663
"(2, 2, 0)","(0, 0, 0)",22539.99080573442,22557.39497969529,82.91176470588235,119.79465000547663
"(1, 2, 0)","(0, 0, 0)",22909.982174634162,22921.58577543798,82.91176470588235,119.79465000547663
"(2, 0, 0)","(1, 0, 0)",21617.2341878844,21640.423352978592,82.91176470588235,119.79465000547663
"(0, 1, 0)","(1, 0, 0)",21753.21219278412,21764.807596855157,82.91176470588235,119.79465000547663
"(2, 1, 0)","(0, 0, 0)",21719.28125366391,21736.686654869638,82.91176470588235,119.79465000547663
"(0, 2, 0)","(0, 0, 0)",24003.083760880203,24008.885561282113,82.91176470588235,119.79465000547663
"(0, 2, 0)","(1, 0, 0)",23906.044617825857,23917.639200372952,82.91176470588235,119.79465000547663
"(0, 1, 0)","(0, 0, 0)",21840.12466460777,21845.926873924018,82.91176470588235,119.79465000547663
"(2, 0, 0)","(0, 0, 0)",21711.369305338278,21728.77593328702,82.91176470588235,119.79465000547663
"(0, 0, 0)","(1, 0, 0)",26453.137117856597,26464.733343114258,82.91176470588235,119.79465000547663
"(0, 0, 0)","(0, 1, 0)",26639.63384374046,26645.431545775977,82.91176470588235,119.79465000547663
"(2, 0, 1)","(0, 0, 0)",21713.0833464166,21736.292183681588,82.91176470588235,119.79465000547663
"(0, 1, 2)","(0, 0, 0)",21711.417531155785,21728.821705116658,82.91176470591188,119.79465000549706
"(1, 1, 0)","(0, 0, 1)",21632.115552417126,21649.507426237768,82.91176475476759,119.79465002190952
"(0, 1, 0)","(0, 0, 1)",21745.24888784087,21756.843470387965,82.91176482426499,119.79465004406244
"(2, 0, 2)","(0, 0, 0)",21706.404402402994,21735.41340441254,82.91176479837024,119.79465006473134
"(2, 1, 2)","(0, 0, 0)",21714.262479165795,21743.26943576725,82.91176506694163,119.79465025518267
"(1, 0, 0)","(0, 0, 1)",21729.430402824735,21746.823508931284,82.91176550460939,119.7946502740711
"(2, 0, 0)","(0, 0, 1)",21625.136078129734,21648.3268862718,82.9117657890899,119.79465036135902
"(1, 1, 2)","(0, 0, 0)",21712.531398829407,21735.736964110572,82.91176952848112,119.79465334128041
"(1, 0, 0)","(2, 0, 0)",21631.468197994232,21654.639244877497,82.91189629030939,119.79469419742114
"(2, 0, 1)","(1, 0, 0)",21618.942391717464,21647.9288480852,82.91186055427151,119.79471140999239
"(2, 0, 2)","(1, 0, 0)",21620.424561073443,21655.20830871473,82.91186620231794,119.7947155948194
"(2, 0, 1)","(0, 0, 1)",21618.926536367828,21647.912992735564,82.91187180359027,119.7947182545808
"(2, 0, 2)","(0, 0, 1)",21612.33969699171,21647.12097904841,82.9118799888303,119.79472411774523
"(0, 1, 0)","(2, 0, 0)",21654.752395814958,21672.130680977407,82.91202203332722,119.79473575375674
"(1, 0, 2)","(1, 0, 0)",21627.180799833222,21656.169310010806,82.9119017729506,119.79473760650417
"(1, 0, 2)","(0, 0, 1)",21611.210837873463,21640.19523958738,82.9119144033192,119.79474531077356
