order,seasonal_order,mean_RMSE,std_RMSE,mean_MAE,std_MAE,mean_AIC,std_AIC,mean_BIC,std_BIC,num_successful_trials
"(1, 0, 2)","(1, 1, 0)",119.58541732751218,4.263256414560601e-14,82.70639260086541,1.4210854715202004e-14,22499.442541631088,3.637978807091713e-12,22528.406350235182,7.275957614183426e-12,30
"(1, 0, 2)","(1, 1, 1)",87.99960661780128,2.842170943040401e-14,65.41004854316323,1.4210854715202004e-14,21521.06608403,3.637978807091713e-12,21555.817699771625,7.275957614183426e-12,30
"(1, 0, 2)","(1, 1, 2)",87.88118098843795,2.842170943040401e-14,65.39030331228487,1.4210854715202004e-14,21419.33161611248,3.637978807091713e-12,21459.840385130767,1.0913936421275139e-11,30
"(1, 0, 2)","(1, 2, 0)",124.17928759967029,0.0,87.17841728602937,1.4210854715202004e-14,24255.74626979233,3.637978807091713e-12,24284.68525418324,3.637978807091713e-12,30
"(1, 0, 2)","(1, 2, 1)",122.81149624954962,2.842170943040401e-14,87.28115396217167,1.4210854715202004e-14,22446.84500635659,0.0,22481.566808372278,3.637978807091713e-12,30
"(1, 0, 2)","(1, 2, 2)",93.39848089627358,2.842170943040401e-14,64.96507724155505,0.0,21463.093171276312,1.0913936421275139e-11,21503.566983917368,3.637978807091713e-12,30
"(1, 0, 2)","(2, 0, 0)",119.79485415819317,0.0,82.91225573154391,2.842170943040401e-14,21529.503182983626,3.637978807091713e-12,21564.259753308525,3.637978807091713e-12,30
"(1, 0, 2)","(2, 0, 1)",119.44086420437348,2.842170943040401e-14,82.51338810540133,2.842170943040401e-14,21525.18232727582,7.275957614183426e-12,21565.731659321536,7.275957614183426e-12,30
"(1, 0, 2)","(2, 0, 2)",119.179690614978,0.0,82.21309780386974,4.263256414560601e-14,21506.70400818029,3.637978807091713e-12,21553.03949583579,3.637978807091713e-12,30
"(1, 0, 2)","(2, 1, 0)",119.56192007975093,0.0,82.67731731438306,4.263256414560601e-14,22137.31820523251,3.637978807091713e-12,22172.044986501594,7.275957614183426e-12,30
"(1, 0, 2)","(2, 1, 1)",87.95402955912444,4.263256414560601e-14,65.44116826189676,0.0,21441.56678349264,1.0913936421275139e-11,21482.081361639895,0.0,30
"(1, 0, 2)","(2, 1, 2)",87.94164960019417,2.842170943040401e-14,65.38353508550951,0.0,21416.95351387265,7.275957614183426e-12,21463.249249893568,7.275957614183426e-12,30
"(1, 0, 2)","(2, 2, 0)",641.5676615393942,0.0,525.9701425629426,1.1368683772161603e-13,23346.976714038054,0.0,23381.6735576151,7.275957614183426e-12,30
"(1, 0, 2)","(2, 2, 1)",122.28657344047664,2.842170943040401e-14,86.53318338562534,1.4210854715202004e-14,22103.725804502883,7.275957614183426e-12,22144.20545534277,0.0,30
"(1, 0, 2)","(2, 2, 2)",91.5365255162764,2.842170943040401e-14,64.97768924038245,0.0,21473.54672332688,7.275957614183426e-12,21519.802509202353,7.275957614183426e-12,30
"(1, 1, 0)","(0, 0, 0)",119.79465000547665,2.842170943040401e-14,82.91176470588236,1.4210854715202004e-14,21726.215364043594,0.0,21737.81978267608,7.275957614183426e-12,30
"(1, 1, 0)","(0, 0, 1)",119.79465002190953,0.0,82.91176475476763,2.842170943040401e-14,21632.11555241714,7.275957614183426e-12,21649.507426237793,3.637978807091713e-12,30
"(1, 1, 0)","(0, 0, 2)",119.69990845690073,2.842170943040401e-14,82.81331676558958,2.842170943040401e-14,21532.850537184313,7.275957614183426e-12,21556.019932880772,0.0,30
"(1, 1, 0)","(0, 1, 0)",119.79465000546672,2.842170943040401e-14,82.91176470587243,0.0,23314.685504070367,0.0,23326.28008661746,3.637978807091713e-12,30
"(1, 1, 0)","(0, 1, 1)",123.20748476526879,2.842170943040401e-14,87.84003789698531,2.842170943040401e-14,21553.989599636177,0.0,21571.366646408525,7.275957614183426e-12,30
"(1, 1, 0)","(0, 1, 2)",122.87865967962983,2.842170943040401e-14,87.37803840875817,1.4210854715202004e-14,21459.59572228322,3.637978807091713e-12,21482.745250389165,1.0913936421275139e-11,30
"(1, 1, 0)","(0, 2, 0)",165.7397361248951,2.842170943040401e-14,106.74509803935098,0.0,25848.475983855307,0.0,25860.060681703526,7.275957614183426e-12,30
"(1, 1, 0)","(0, 2, 1)",114.06923156193253,2.842170943040401e-14,77.00720756800202,1.4210854715202004e-14,23159.226352296304,0.0,23176.58849837575,7.275957614183426e-12,30
"(1, 1, 0)","(0, 2, 2)",151.25476634670355,2.842170943040401e-14,121.89958755404857,1.4210854715202004e-14,21489.223713419884,3.637978807091713e-12,21512.353274762245,7.275957614183426e-12,30
"(1, 1, 0)","(1, 0, 0)",119.79465000547665,2.842170943040401e-14,82.91176470588236,1.4210854715202004e-14,21632.11805297246,7.275957614183426e-12,21649.509926793085,7.275957614183426e-12,30
"(1, 1, 0)","(1, 0, 1)",119.79339028629236,0.0,82.9104549958027,4.263256414560601e-14,21633.97834507717,3.637978807091713e-12,21657.167510171374,1.0913936421275139e-11,30
"(1, 1, 0)","(1, 0, 2)",116.51704796215877,1.4210854715202004e-14,79.46882202271618,2.842170943040401e-14,21526.63189525459,0.0,21555.593639875162,3.637978807091713e-12,30
"(1, 1, 0)","(1, 1, 0)",119.57465773113714,2.842170943040401e-14,82.69205550660159,1.4210854715202004e-14,22554.70635895144,1.0913936421275139e-11,22572.08340572379,0.0,30
"(1, 1, 0)","(1, 1, 1)",123.20142127795314,0.0,87.83157514950413,2.842170943040401e-14,21555.89151160107,7.275957614183426e-12,21579.060907297528,0.0,30
"(1, 1, 0)","(1, 1, 2)",122.89552802066159,2.842170943040401e-14,87.41488008175199,0.0,21455.387369107608,7.275957614183426e-12,21484.324279240027,1.0913936421275139e-11,30
"(1, 1, 0)","(1, 2, 0)",124.49613913943433,2.842170943040401e-14,87.54133593189717,2.842170943040401e-14,24361.637956683677,7.275957614183426e-12,24379.000102763144,7.275957614183426e-12,30
"(1, 1, 0)","(1, 2, 1)",134.99786965589198,0.0,102.91210047921263,2.842170943040401e-14,22519.557287535645,7.275957614183426e-12,22542.706815641595,3.637978807091713e-12,30
"(1, 1, 0)","(1, 2, 2)",151.21904711539054,2.842170943040401e-14,121.86278066670123,2.842170943040401e-14,21491.200122610204,0.0,21520.112074288147,7.275957614183426e-12,30
