lookback,batch_size,epochs,encoder_units,decoder_units,attention,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
12,8,100,128,64,True,324.76879042609147,40.28861080545293,247.8426479763455,46.9275797376303,6.813278407955092,1.2541182996734388
12,16,50,128,128,True,328.1742849689384,7.660003679873197,246.81058937355328,10.506672190420431,6.81189802914951,0.275929042744133
12,8,50,64,64,True,328.58833780743896,3.195338732292619,247.05493503146695,4.191157850801552,6.819629655694874,0.1107547805232714
12,16,50,64,128,True,328.8369734902666,7.105014756036754,247.54705516673897,9.71685214960381,6.831746266604375,0.2562291295780265
11,8,100,64,128,False,328.9811797978731,0.9449378059995432,246.6926414695946,3.6943397364132697,6.926072706445284,0.0754643131102921
11,8,100,128,128,False,329.0337453693752,1.1246202853284677,235.20016188063065,1.4925398508862924,6.695439840670561,0.0266420794405488
11,8,50,128,128,False,329.2816699142447,1.1520898687563186,234.87689813837272,1.5900136539862624,6.689972156586368,0.0286139330141425
12,16,100,64,64,False,329.5952001801091,128.348419312886,263.81979731807,142.9004697383253,7.1538439379004375,3.716051458802031
12,16,100,64,64,True,331.42877910526374,112.70303773601402,247.13056346752023,122.87996810876184,6.799281639600219,3.1547154835219176
12,16,50,128,64,True,331.997472493842,7.8361171681201025,251.76960110134547,10.320190315414589,6.94307513952261,0.2716795116973911
11,8,50,64,128,False,333.06557012317893,21.236300004484946,251.6133558118665,21.6723691491646,7.056584064720119,0.6062442971845291
12,32,100,64,64,True,339.1155823362148,10.80545420672399,262.2582494665075,14.553896518767322,7.215956914236318,0.3821805387061037
12,8,50,128,128,True,339.9834232104628,6.627225194536855,261.97768735532406,8.443542597049815,7.212747186385811,0.2223383659617079
11,8,50,128,64,False,340.04009366776256,36.62893888361354,258.7993329022382,37.1989988544522,7.26052751894668,1.0432736574336152
11,16,50,128,64,False,348.2520673998766,50.4183580312349,268.62210748346,58.00030092508319,7.439012133758371,1.354405292039124
12,16,50,64,64,True,348.9645164368396,11.159597727735218,275.43960277416096,15.053935878466788,7.56082299722792,0.3930990564711837
12,8,50,128,128,False,349.6730187793754,43.09386838280362,281.564001916956,54.20710923552145,7.698191632122147,1.4172019783017562
12,8,50,128,64,True,351.192426843993,11.169761410860328,276.2825708459925,14.327668306283792,7.588317580122464,0.3753099873262477
12,32,100,64,128,False,351.725122260723,233.87879121422677,272.68408587420424,244.89750553566304,7.411464667194195,6.278293392925006
11,16,100,128,64,False,353.5065524139751,53.50732507375636,276.12552127322635,61.30454905044734,7.607605094447989,1.431248502194865
12,8,100,128,128,False,356.0160129553769,51.40138220446247,289.06487652813945,63.660235378043886,7.891423184605143,1.6628335698809569
11,16,100,128,128,True,356.8480877877956,32.75448097577402,267.7470927470439,36.026680160381055,7.526149829453186,0.9506918164737228
11,32,50,128,128,False,359.1938753655906,12.135657914884634,249.07795806059968,14.386770460297672,7.181217899922524,0.3943022566532446
12,8,50,64,128,False,361.29060243057904,80.14477519201009,293.6404710557726,97.0895158184323,8.000339942049465,2.532575802073544
11,8,50,64,128,True,364.40595725478175,17.664096285807748,251.88257231841217,20.9178415452909,7.262295085352335,0.5737041239987228
11,8,100,128,64,False,364.52782947778536,74.36158893388833,285.2492277678068,78.91717217466137,7.980082106632552,2.165923779248414
12,8,50,64,128,True,366.3043310419444,16.52686241010051,296.3753103750723,20.73581379031632,8.111132259034072,0.5465480717696869
11,16,50,64,64,False,367.9492708429627,27.495135122703307,272.00614222621056,20.82754069544018,7.736726041095694,0.6304155411315355
11,32,50,128,128,True,372.0466463715293,7.120891079313676,256.85952038464245,10.614959565024074,7.416718662861133,0.2817657140767475
12,8,100,64,128,True,374.91530597921934,30.74860218214356,307.85739565248844,36.67290202237277,8.405594246787683,0.9733869596841276
12,8,100,64,128,False,377.5708877959144,89.72887741866418,316.33603425202546,104.68294595388944,8.579131618326764,2.73904876812907
11,32,50,64,64,False,379.9050661658408,12.603609038272872,276.5206967465512,12.722658350597763,7.917865082143873,0.3578259030677075
11,8,100,64,128,True,383.696660725218,48.24681262951409,276.33622343046164,62.335850147838336,7.912169333297717,1.645751351211111
11,8,50,64,64,False,385.0892325108351,43.64002247307134,294.0630291913007,47.8277608407273,8.334151842594451,1.3187821289566886
12,16,50,64,64,False,386.5991533052815,194.7652712517553,324.9248139558014,214.7422743176737,8.742383252460241,5.564103403430243
11,8,100,128,64,True,389.4062630918373,15.48503176208576,280.8086933857686,18.042698589170907,8.056469953647136,0.4920696175039549
11,8,50,128,64,True,394.26682187442617,24.682081604108525,289.33493190456085,34.94248461047273,8.274801908219931,0.922850508117956
11,32,50,128,64,True,398.697352296489,55.15435015206824,293.39607813379786,71.89320622194857,8.375806517870625,1.8730740762238576
12,32,100,128,128,True,400.4657247602334,434.7902529856421,309.4938286675346,395.26899116152015,8.398841776401788,10.066340365740333
9,8,50,64,128,False,400.7137233480897,0.9492827445736478,279.78855898604434,1.1962814581368522,8.313160292721202,0.0199440660446484
